variable,group,n,mean,median,sd,min,max,q25,q75,skewness,kurtosis
wiek,CHOR1,25,29.732,29,5.291086844874123,NA,NA,NA,NA,0.5984670674938766,-0.576309680337602
wiek,CHOR2,25,30.132,30,5.668827039167803,NA,NA,NA,NA,0.38320710199033853,-1.0202532229912993
wiek,KONTROLA,25,32.024,32,4.894578633549572,NA,NA,NA,NA,0.14757800256394085,-0.6079394680623134
hsCRP,CHOR1,25,4.751700775999999,3.96646,4.167077165889264,NA,NA,NA,NA,1.6826048720795688,1.7143466830676832
hsCRP,CHOR2,25,5.388553828,3.44546,4.156855679601023,NA,NA,NA,NA,0.6120972647672458,-0.895590340954517
hsCRP,KONTROLA,25,5.299289988,4.22037,3.9917345853293376,NA,NA,NA,NA,0.961081189147081,-0.18994853027685155
ERY,CHOR1,25,4.23656,4.2,0.35279952758849703,NA,NA,NA,NA,-0.5074486679513783,-0.6909062075647605
ERY,CHOR2,25,4.1932,4.27,0.43688671300464166,NA,NA,NA,NA,-0.23055785117970043,-1.0171648519278729
ERY,KONTROLA,25,4.032,3.98,0.3877890319920529,NA,NA,NA,NA,0.15892404844298821,-0.6691969168510328
PLT,CHOR1,25,224.832,217,50.53234706601306,NA,NA,NA,NA,0.36114580832895177,-0.9848582665263077
PLT,CHOR2,25,207.956,195,53.225354860254335,NA,NA,NA,NA,0.9709466141469526,-0.1310698596019768
PLT,KONTROLA,25,221.308,214,51.11112012077215,NA,NA,NA,NA,0.6088982443886805,-0.7500793868317337
HGB,CHOR1,24,12.4114125,12.4047,1.163144490000948,NA,NA,NA,NA,-0.5176309962841271,-0.3594048300084305
HGB,CHOR2,25,12.4775172,12.5658,1.369579943046772,NA,NA,NA,NA,-0.3765119280738748,-1.0021970503929418
HGB,KONTROLA,24,11.2837125,11.4381,1.0510266452223709,NA,NA,NA,NA,0.05521219104818581,-1.0448684723300778
HCT,CHOR1,25,0.363808,0.363,0.029899288174358492,NA,NA,NA,NA,-0.5467825827333711,-0.20648108008527855
HCT,CHOR2,25,0.355328,0.36,0.03852923695065866,NA,NA,NA,NA,-0.3559349508475438,-1.2380959791131692
HCT,KONTROLA,25,0.338128,0.339,0.029184692334624104,NA,NA,NA,NA,-0.010274837202933311,-0.7113908287934452
MCHC,CHOR1,25,35.133472,35.0471,0.830513841551322,NA,NA,NA,NA,-0.3817297133552689,0.6665873141050689
MCHC,CHOR2,25,35.405876,35.5454,1.001983708400492,NA,NA,NA,NA,-0.507038351939952,-0.26629376224908485
MCHC,KONTROLA,25,34.4630924,34.5488,1.0055646077630558,NA,NA,NA,NA,-0.22855754684788498,-1.1457426220333393
MON,CHOR1,24,0.8467916666666666,0.76,0.27535411653496944,NA,NA,NA,NA,0.6040847157719579,-0.8944955168355779
MON,CHOR2,25,0.7443,0.66,0.2786746161146841,NA,NA,NA,NA,0.9695362481769377,-0.05050054533205772
MON,KONTROLA,25,0.76326,0.76,0.18144289276059652,NA,NA,NA,NA,0.4957672259652756,0.7602877372989236
LEU,CHOR1,25,12.04304,11.66,2.4535902856834104,NA,NA,NA,NA,0.26297974903998544,-1.2612474400634963
LEU,CHOR2,25,12.02332,12,2.2899217002625507,NA,NA,NA,NA,0.1874311011609872,-0.8286127471608187
LEU,KONTROLA,25,11.426599999999999,10.68,2.714690252435195,NA,NA,NA,NA,0.354960076425724,-1.182106573188584
